ALL ITERATIONS.
======================================================================================================================================================
n    K    m    It   LRC  z              S                                                                                                   CPU (s)   
======================================================================================================================================================
15   2    2    10   2    11.859216      (0.58, 1.29) (8.65, 9.98)                                                                           0.004584  
15   2    2    10   3    11.859216      (8.65, 9.98) (0.58, 1.29)                                                                           0.004961  
15   2    2    20   2    11.859216      (0.58, 1.29) (8.65, 9.98)                                                                           0.002723  
15   2    2    20   3    11.859216      (8.65, 9.98) (0.58, 1.29)                                                                           0.002437  
15   2    3    10   2    27.372700      (8.65, 9.98) (0.58, 1.29) (9.11, 3.23)                                                              0.002220  
15   2    3    10   3    27.372700      (0.58, 1.29) (9.11, 3.23) (8.65, 9.98)                                                              0.002511  
15   2    3    20   2    27.372700      (8.65, 9.98) (0.58, 1.29) (9.11, 3.23)                                                              0.004468  
15   2    3    20   3    27.372700      (0.58, 1.29) (8.65, 9.98) (9.11, 3.23)                                                              0.004961  
15   2    4    10   2    49.826782      (0.58, 1.29) (8.65, 9.98) (0.16, 4.62) (9.11, 3.23)                                                 0.005057  
15   2    4    10   3    49.826782      (8.65, 9.98) (0.58, 1.29) (0.16, 4.62) (9.11, 3.23)                                                 0.005520  
15   2    4    20   2    49.826782      (8.65, 9.98) (0.58, 1.29) (0.16, 4.62) (9.11, 3.23)                                                 0.009834  
15   2    4    20   3    49.826782      (0.58, 1.29) (0.16, 4.62) (8.65, 9.98) (9.11, 3.23)                                                 0.010217  
15   2    5    10   2    79.129532      (8.65, 9.98) (0.58, 1.29) (9.11, 3.23) (0.16, 4.62) (9.96, 8.17)                                    0.007667  
15   2    5    10   3    79.129532      (8.65, 9.98) (9.11, 3.23) (0.58, 1.29) (0.16, 4.62) (9.96, 8.17)                                    0.007244  
15   2    5    20   2    79.129532      (8.65, 9.98) (0.58, 1.29) (9.11, 3.23) (0.16, 4.62) (9.96, 8.17)                                    0.014756  
15   2    5    20   3    79.129539      (8.65, 9.98) (0.16, 4.62) (0.58, 1.29) (9.11, 3.23) (9.96, 8.17)                                    0.014317  
------------------------------------------------------------------------------------------------------------------------------------------------------
20   2    2    10   2    8.510329       (0.63, 5.96) (8.67, 3.17)                                                                           0.001110  
20   2    2    10   3    8.510329       (8.67, 3.17) (0.63, 5.96)                                                                           0.001275  
20   2    2    20   2    8.510329       (0.63, 5.96) (8.67, 3.17)                                                                           0.002343  
20   2    2    20   3    8.510329       (8.67, 3.17) (0.63, 5.96)                                                                           0.002877  
20   2    3    10   2    21.996086      (0.63, 5.96) (8.67, 3.17) (8.57, 8.36)                                                              0.002534  
20   2    3    10   3    21.996086      (0.63, 5.96) (8.67, 3.17) (8.57, 8.36)                                                              0.002795  
20   2    3    20   2    21.996086      (0.63, 5.96) (8.57, 8.36) (8.67, 3.17)                                                              0.005767  
20   2    3    20   3    21.996086      (8.57, 8.36) (8.67, 3.17) (0.63, 5.96)                                                              0.005884  
